injected.js:37 [AuthContext] Notification initialize result: Object
injected.js:37 [AuthContext] No token obtained, skipping server registration
injected.js:37 [Dive] descent: raw=1.25min, rounded=2min, bottomTime=25min
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.3m, rounded=10m, GF=40%, mustStay=true
logs.browser-intake-us5-datadoghq.com/api/v2/logs?ddsource=browser&ddtags=sdk_version%3A4.46.0%2Capi%3Afetch%2Cenv%3Aproduction%2Cservice%3Awebsite%2Cversion%3A26a06277&dd-api-key=pub31a5047a3a4692afb84a423db984dc57&dd-evp-origin-version=4.46.0&dd-evp-origin=browser&dd-request-id=50c6d912-0083-4256-865d-cb836bc8e7e5:1  Failed to load resource: net::ERR_BLOCKED_BY_CLIENT
logs.browser-intake-us5-datadoghq.com/api/v2/logs?ddsource=browser&ddtags=sdk_version%3A4.46.0%2Capi%3Axhr%2Cenv%3Aproduction%2Cservice%3Awebsite%2Cversion%3A26a06277&dd-api-key=pub31a5047a3a4692afb84a423db984dc57&dd-evp-origin-version=4.46.0&dd-evp-origin=browser&dd-request-id=86f6084a-8679-4caa-8dc4-87339aea0386:1  Failed to load resource: net::ERR_BLOCKED_BY_CLIENT
injected.js:37 [Dive] descent: raw=1.67min, rounded=2min, bottomTime=25min
injected.js:37 [Deco] depth=18m, target=15m, ceiling=15.5m, rounded=16m, GF=37%, mustStay=true
injected.js:37 [Deco] depth=18m, target=15m, ceiling=14.6m, rounded=15m, GF=37%, mustStay=false
injected.js:37 [Deco] depth=15m, target=12m, ceiling=13.1m, rounded=14m, GF=43%, mustStay=true
injected.js:37 [Deco] depth=15m, target=12m, ceiling=12.2m, rounded=13m, GF=43%, mustStay=true
injected.js:37 [Deco] depth=15m, target=12m, ceiling=11.5m, rounded=12m, GF=43%, mustStay=false
injected.js:37 [Deco] depth=12m, target=9m, ceiling=10.4m, rounded=11m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.8m, rounded=10m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.3m, rounded=10m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=8.8m, rounded=9m, GF=50%, mustStay=false
injected.js:37 [Deco] depth=9m, target=6m, ceiling=7.8m, rounded=8m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=7.3m, rounded=8m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.8m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.4m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.2m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=5.9m, rounded=6m, GF=57%, mustStay=false
injected.js:37 [Deco] depth=6m, target=3m, ceiling=5.1m, rounded=6m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.8m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.5m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.1m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.9m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.6m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.3m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.2m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.0m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=2.9m, rounded=3m, GF=63%, mustStay=false
injected.js:37 [Deco] depth=3m, target=0m, ceiling=2.2m, rounded=3m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=2.0m, rounded=3m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.9m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.7m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.5m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.3m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.1m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.0m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.9m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.7m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.6m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.5m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.4m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.3m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.2m, rounded=1m, GF=70%, mustStay=true
2injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.1m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.0m, rounded=0m, GF=70%, mustStay=false
injected.js:37 [Dive] descent: raw=1.67min, rounded=2min, bottomTime=25min
injected.js:37 [Deco] depth=18m, target=15m, ceiling=15.5m, rounded=16m, GF=37%, mustStay=true
injected.js:37 [Deco] depth=18m, target=15m, ceiling=14.6m, rounded=15m, GF=37%, mustStay=false
injected.js:37 [Deco] depth=15m, target=12m, ceiling=13.1m, rounded=14m, GF=43%, mustStay=true
injected.js:37 [Deco] depth=15m, target=12m, ceiling=12.2m, rounded=13m, GF=43%, mustStay=true
injected.js:37 [Deco] depth=15m, target=12m, ceiling=11.5m, rounded=12m, GF=43%, mustStay=false
injected.js:37 [Deco] depth=12m, target=9m, ceiling=10.4m, rounded=11m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.8m, rounded=10m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=9.3m, rounded=10m, GF=50%, mustStay=true
injected.js:37 [Deco] depth=12m, target=9m, ceiling=8.8m, rounded=9m, GF=50%, mustStay=false
injected.js:37 [Deco] depth=9m, target=6m, ceiling=7.8m, rounded=8m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=7.3m, rounded=8m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.8m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.4m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=6.2m, rounded=7m, GF=57%, mustStay=true
injected.js:37 [Deco] depth=9m, target=6m, ceiling=5.9m, rounded=6m, GF=57%, mustStay=false
injected.js:37 [Deco] depth=6m, target=3m, ceiling=5.1m, rounded=6m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.8m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.5m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=4.1m, rounded=5m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.9m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.6m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.3m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.2m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=3.0m, rounded=4m, GF=63%, mustStay=true
injected.js:37 [Deco] depth=6m, target=3m, ceiling=2.9m, rounded=3m, GF=63%, mustStay=false
injected.js:37 [Deco] depth=3m, target=0m, ceiling=2.2m, rounded=3m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=2.0m, rounded=3m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.9m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.7m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.5m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.3m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.1m, rounded=2m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=1.0m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.9m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.7m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.6m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.5m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.4m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.3m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.2m, rounded=1m, GF=70%, mustStay=true
2injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.1m, rounded=1m, GF=70%, mustStay=true
injected.js:37 [Deco] depth=3m, target=0m, ceiling=0.0m, rounded=0m, GF=70%, mustStay=false
